xc1,xc2,w1,w2
5.215,5.215,0.098099566376157,0.098099566376157
5.218,5.218,0.0963814306785551,0.0963814306785551
5.173,4.162,0.0954946110621577,0.119364665236079
5.17,4.27,0.0966207652259099,0.127263119519094
5.221,4.363,0.0987495136114598,0.123528616719329
5.218,4.459,0.0865886287315796,0.124206648565069
5.197,4.54,0.088034385963887,0.127920105004791
5.188,4.645,0.0946334009343825,0.116960092728769
5.227,4.735,0.0877638010181903,0.124669790277811
5.224,4.819,0.0934186500416407,0.113974356379413
5.23,4.897,0.0970344268626571,0.101643417193207
5.242,5.242,0.0900909974011226,0.0900909974011226
5.203,5.203,0.0995011825324843,0.0995011825324843
5.203,5.203,0.0923060711773713,0.0923060711773713
5.26,5.26,0.0886850986269687,0.0886850986269687
5.248,5.248,0.0979378872029333,0.0979378872029333
5.197,5.197,0.105057494248071,0.105057494248071
5.227,5.227,0.161308770561796,0.161308770561796
5.314,5.314,0.168964204190161,0.168964204190161
5.239,5.239,0.22275815568839,0.22275815568839
5.242,5.074,0.303987564337306,0.0674083428391707
5.098,5.23,0.101633108341496,0.0525870994943949
5.137,5.137,0.125056757693663,0.125056757693663
5.149,5.599,0.154228057592417,0.154650481010923
5.137,5.668,0.0871861569475314,0.170444918169621
5.164,5.749,0.0925825242762572,0.169718215073477
5.146,5.812,0.0919045896808752,0.18602086416672
5.149,5.887,0.0866433256854542,0.195896680936434
5.122,5.956,0.0852105570538022,0.187782135971828
5.107,6.028,0.0879355393369199,0.200677138362597
5.152,6.1,0.0861922446706185,0.177636295779719
5.149,6.184,0.0871646873578893,0.168692992099936
5.176,6.241,0.084879018419298,0.183063460852085
5.161,6.334,0.0875286092520291,0.177120816245724
5.158,6.388,0.0890473588447387,0.155934289600784
5.119,6.844,0.0863314753817539,0.153173563151052
5.158,6.907,0.0842660186769351,0.162923111868912
5.185,6.976,0.0946343931875546,0.151187519041614
5.182,7.051,0.0918824356800627,0.19854107745914
5.125,7.102,0.0859945713769266,0.156164972429896
5.203,7.168,0.099341706692524,0.155567403666896
5.17,6.865,0.0944339378499386,0.247643619062437
5.17,7.297,0.0898496843100167,0.150543735259176
5.182,7.36,0.0904327669202472,0.15384519676843
5.194,7.414,0.0917529318966777,0.161267819601343
5.176,7.477,0.0882018008727092,0.155524230127773
5.146,7.525,0.0871055752526768,0.177446432011473
5.191,7.6,0.0937615549173527,0.154649870699181
5.224,7.327,0.100708502919155,0.169816989411203
5.179,7.723,0.0892939588861132,0.149961619968824
5.197,7.78,0.101677532102375,0.146256882210465
5.167,7.84,0.119794465122715,0.175323071507111
5.194,7.897,0.0894465110160514,0.146067776962702
5.149,7.954,0.087300055767515,0.159072373882528
5.197,8.008,0.0887352478180654,0.147024677364322
5.182,8.071,0.0877585133925782,0.159146778227996
5.206,8.137,0.10043060621912,0.155804357568611
5.17,8.188,0.091151784527411,0.163352937399978
5.182,8.302,0.092670251935953,0.153116866524437
5.17,8.356,0.0947420057662729,0.159616817610882
5.17,8.422,0.10660774478659,0.164431275123713
5.188,8.464,0.0870451262561014,0.166476150274489
5.146,8.527,0.091975546989862,0.178481044628768
5.251,8.584,0.0908472784455947,0.184983754522756
5.17,8.638,0.0925234813069018,0.175921928010807
5.143,8.689,0.0975462793968331,0.180017171790904
5.161,8.746,0.0884079110500515,0.160642696877904
5.2,8.803,0.0930159597458076,0.165563143149937
5.173,8.851,0.0890096234385309,0.190888731642261
5.167,8.908,0.0949497085780227,0.188589522018988
5.164,9.01,0.0939016926965417,0.183550008478798
5.2,9.064,0.0913344201056692,0.173631286580436
5.215,9.166,0.0987386087561335,0.182731988219365
5.128,9.211,0.0888483160116049,0.174943618751252
5.116,9.262,0.0861205852699527,0.179357366801067
5.143,9.322,0.0918728572254901,0.175793764655428
5.113,9.418,0.0890175303261049,0.164649825373562
5.185,9.619,0.0889774922543465,0.151222244126954
5.17,9.661,0.0916734314312819,0.154206791916085
5.14,9.715,0.0886120067427205,0.147453857932105
5.176,9.757,0.0899039934023511,0.143031627522911
5.146,9.787,0.0928149962090892,0.170541505441513
5.155,9.844,0.086976518958596,0.145155758796923
5.146,9.895,0.0885454352870232,0.123677099433722
5.164,9.937,0.0857609065978648,0.0780798827478026
5.2,5.2,0.0978221628227312,0.0978221628227312
5.2,5.2,0.0905004265970861,0.0905004265970861
5.224,5.224,0.11268429984852,0.11268429984852
5.176,5.176,0.0835890136841826,0.0835890136841826
5.257,5.257,0.126878682129742,0.126878682129742
5.206,4.81,0.107548925134364,0.0562132206962254
