xc1,xc2,w1,w2
5.233,5.233,0.101176532144649,0.101176532144649
5.257,5.257,0.112710284595348,0.112710284595348
5.266,5.266,0.111139807622129,0.111139807622129
5.251,5.251,0.120492906361619,0.120492906361619
5.251,5.251,0.111220079746354,0.111220079746354
5.26,5.26,0.135163990448929,0.135163990448929
5.233,5.233,0.1602568584071,0.1602568584071
5.266,5.266,0.134237302152317,0.134237302152317
5.266,5.266,0.131322844433518,0.131322844433518
5.242,5.242,0.145995379804225,0.145995379804225
5.215,5.215,0.165198825165795,0.165198825165795
5.221,4.717,0.202795976091974,0.137083256332584
5.191,4.738,0.197884217149383,0.110447900414463
5.167,4.786,0.101929020292415,0.0804342707206773
5.158,4.813,0.0931554684989875,0.0782037894155803
5.212,4.825,0.100022930715606,0.0765031943183576
5.179,4.867,0.107917667537784,0.0720354693441809
5.167,4.864,0.097912668676293,0.0726648030275747
5.221,4.885,0.0948848019567761,0.0742291277434353
5.185,4.918,0.0870265094551179,0.0669798635465755
5.194,4.9,0.0826961322702617,0.0726820302954776
5.185,4.927,0.0833011361897533,0.0709373460275868
5.194,4.927,0.0839958829162768,0.0706019608386566
5.221,4.957,0.0825220384859628,0.072038820507256
5.221,4.945,0.0833164107655762,0.0688285003435993
5.206,4.981,0.0822578320056024,0.0659113459212159
5.182,4.996,0.0836890768594749,0.0640413068047136
5.245,4.963,0.0840995615405422,0.0706695755018067
5.227,4.981,0.0851623803277732,0.068966925656305
5.197,4.975,0.0809089748056655,0.0674239853529741
5.23,4.978,0.0853369877927479,0.0685773588869933
5.2,4.996,0.0850349883611026,0.0646841223019416
5.242,4.945,0.0827544880160636,0.0696534781954901
5.26,4.96,0.0832198159868067,0.0690998185343119
5.26,4.978,0.0837076378718686,0.0712793259550448
5.251,4.996,0.0839398780011953,0.0679109477897839
5.221,5.014,0.085010157095736,0.0649798599480098
5.239,4.996,0.0803779228774912,0.0701348143276963
5.266,5.011,0.0849208116025775,0.0670247303518359
5.179,5.017,0.0889927949752192,0.0599935906372195
5.242,4.993,0.0896635782149753,0.0686421924310423
5.224,4.954,0.0841996718357816,0.0707437427916568
5.227,4.987,0.0801695713466506,0.0711232156960815
5.209,5.02,0.0826402489683122,0.0654440006400749
5.203,5.02,0.0832482822352656,0.065631932637622
5.263,5.038,0.0848758619405148,0.0641903827914989
5.245,5.005,0.0847758293732888,0.0709095360619418
5.293,4.975,0.0864180601743705,0.0777092114357796
5.23,5.05,0.0853338277118683,0.0664894950316688
5.218,5.053,0.0842083178262243,0.0597795571891924
