xc1,xc2,w1,w2
5.29,5.29,0.0856406812926016,0.0856406812926016
5.275,5.275,0.0895817869180577,0.0895817869180577
5.266,5.266,0.103262286161263,0.103262286161263
5.278,5.278,0.0868148187106126,0.0868148187106126
5.284,5.284,0.0865399276906098,0.0865399276906098
5.269,5.269,0.0882302141876004,0.0882302141876004
5.278,5.278,0.0878552773715349,0.0878552773715349
5.284,5.284,0.0913036850967446,0.0913036850967446
5.278,5.278,0.0931373584708926,0.0931373584708926
5.284,5.284,0.0880201096238116,0.0880201096238116
5.284,5.284,0.0857006339410331,0.0857006339410331
5.263,5.263,0.0911345916134252,0.0911345916134252
5.281,5.281,0.0927423221750008,0.0927423221750008
5.284,5.284,0.0846448367183594,0.0846448367183594
5.278,5.278,0.0857638534454548,0.0857638534454548
5.263,5.263,0.0905572481080759,0.0905572481080759
5.278,5.278,0.111893810302941,0.111893810302941
5.278,5.278,0.0859816534052413,0.0859816534052413
5.287,5.287,0.0884020247324111,0.0884020247324111
5.275,5.275,0.10278285221402,0.10278285221402
5.278,5.278,0.0969277920267686,0.0969277920267686
5.281,5.281,0.0835940426977162,0.0835940426977162
5.257,5.257,0.0895924585683092,0.0895924585683092
5.293,5.293,0.0872726982993823,0.0872726982993823
5.278,5.278,0.0898224127372895,0.0898224127372895
5.287,5.287,0.0886022238763822,0.0886022238763822
5.296,5.296,0.0860953937146745,0.0860953937146745
5.299,5.299,0.0870001654430697,0.0870001654430697
5.29,5.29,0.0893195119703503,0.0893195119703503
5.281,5.281,0.0872411539502522,0.0872411539502522
5.245,5.245,0.109733137482762,0.109733137482762
5.236,5.236,0.0987763971419957,0.0987763971419957
5.278,5.278,0.0968157850824998,0.0968157850824998
5.26,5.26,0.087406137935357,0.087406137935357
5.293,5.293,0.0865253107766915,0.0865253107766915
5.296,5.296,0.086084450757733,0.086084450757733
5.287,5.287,0.087229675345367,0.087229675345367
5.287,5.287,0.0838663508835902,0.0838663508835902
5.275,5.275,0.087802961285969,0.087802961285969
5.287,5.287,0.0952904234225924,0.0952904234225924
5.293,5.293,0.0894273904487495,0.0894273904487495
5.269,5.269,0.0882689967544827,0.0882689967544827
5.302,5.302,0.0909237965567344,0.0909237965567344
5.305,5.305,0.0925670581281075,0.0925670581281075
5.281,5.281,0.0983612214962619,0.0983612214962619
5.281,5.281,0.0842983628291547,0.0842983628291547
5.299,5.299,0.0858836864878967,0.0858836864878967
5.284,5.284,0.084992510499279,0.084992510499279
5.293,5.293,0.0867091069400745,0.0867091069400745
5.287,5.287,0.0890361421904391,0.0890361421904391
5.305,5.305,0.0865832958087376,0.0865832958087376
5.299,5.299,0.0854460126482737,0.0854460126482737
5.284,5.284,0.0875430917678379,0.0875430917678379
5.29,5.29,0.0845686162457513,0.0845686162457513
5.311,5.311,0.0912081079785638,0.0912081079785638
5.29,5.29,0.0842782338090435,0.0842782338090435
5.302,5.302,0.0867128437080593,0.0867128437080593
5.323,4.945,0.0838280634004196,0.0655836260237166
5.332,5.041,0.0902583895275288,0.0668582891958698
5.341,5.059,0.0859183073425402,0.0618259561079721
5.35,5.065,0.0915792130883251,0.0660508914839806
5.341,5.077,0.0829382745828813,0.0590563804607944
5.353,5.089,0.082580005617066,0.0598022074303808
5.35,5.098,0.0817406663708082,0.0564985510591809
5.371,5.113,0.0838623593409729,0.0634386309673722
5.383,5.122,0.0795841269146358,0.060295586740815
5.38,5.134,0.0798579858438622,0.0575135083832352
5.389,5.143,0.0768069640729445,0.058476682221511
5.143,5.392,0.0625047353397994,0.0730051100253037
5.161,5.404,0.0621924865422585,0.0725350781416179
5.17,5.413,0.0626172430882601,0.0718833296571821
5.158,5.416,0.0659607664756434,0.0721312961427953
5.182,5.434,0.0637276294490166,0.0703905130058677
5.185,5.443,0.0654226053842173,0.07059774706602
5.17,5.446,0.0695233122015431,0.0677124100488902
5.185,5.464,0.0686936186551188,0.0687443390438514
5.206,5.479,0.0672628107257438,0.0687285835784035
5.2,5.488,0.0702073686629952,0.0724850006470268
5.203,5.5,0.0699371053994859,0.0707951606295811
5.212,5.512,0.0709572882335605,0.0690049000630051
5.218,5.53,0.0716560890458622,0.0712838181289843
5.206,5.542,0.0736903598382685,0.0732797323733676
5.209,5.551,0.0744390158697259,0.0745734332400012
5.221,5.566,0.074639632550106,0.0712181282012878
5.233,5.581,0.073409560100699,0.0704976870848339
5.233,5.554,0.0743237236561569,0.0809139345381356
5.221,5.605,0.0763117940389586,0.0798077041675143
5.224,5.608,0.075476210742532,0.0790956973648136
5.209,5.62,0.0767662038106209,0.0855602002054674
5.248,5.632,0.075297661280632,0.0818861441686947
5.239,5.647,0.0774173149724025,0.0592564266680444
5.239,5.659,0.0766481784260105,0.0850857549258182
5.236,5.665,0.0772664316984013,0.0756746830878683
5.239,5.689,0.07647614828928,0.0859221132018444
5.233,5.677,0.077571241576508,0.0660849803703902
5.23,5.722,0.0782925191750543,0.0852524320153538
5.233,5.731,0.0778115389341636,0.0879866266680196
5.233,5.233,0.0811058529376858,0.0811058529376858
