xc1,xc2,w1,w2
5.248,5.248,0.0824923400727187,0.0824923400727187
5.182,5.182,0.087467498324159,0.087467498324159
5.182,5.182,0.0949640253571484,0.0949640253571484
5.197,5.197,0.0939061089512858,0.0939061089512858
5.212,5.212,0.0874862726265428,0.0874862726265428
5.23,5.23,0.0916601411137963,0.0916601411137963
5.224,5.224,0.090373015393955,0.090373015393955
5.203,5.203,0.0943148556702935,0.0943148556702935
5.203,5.203,0.0926592488647069,0.0926592488647069
5.209,5.209,0.0995710905175482,0.0995710905175482
5.188,5.188,0.0935845575210079,0.0935845575210079
5.218,5.218,0.0909802997810392,0.0909802997810392
5.239,5.239,0.0910693575006443,0.0910693575006443
5.212,5.212,0.0935875017613084,0.0935875017613084
5.197,5.197,0.0981485684848424,0.0981485684848424
5.209,4.447,0.0894959608534442,0.127768029683726
5.2,4.534,0.0888748994676094,0.119921940773851
5.209,4.633,0.0908792137239818,0.121946289858749
5.245,4.723,0.0848309629653512,0.124590195379906
5.206,5.206,0.0924552965319734,0.0924552965319734
5.188,5.188,0.095614591587041,0.095614591587041
5.191,5.191,0.0966884497052058,0.0966884497052058
5.209,5.209,0.0969196666913357,0.0969196666913357
5.254,5.254,0.0916891425900497,0.0916891425900497
5.242,5.242,0.0938159732477413,0.0938159732477413
5.23,5.23,0.0997192162046154,0.0997192162046154
5.218,5.218,0.108984918059609,0.108984918059609
5.242,5.242,0.121924697796348,0.121924697796348
5.302,5.302,0.175102775708011,0.175102775708011
5.239,5.239,0.22660941954714,0.22660941954714
5.35,5.077,0.464293610241135,0.0573269842363615
5.113,5.239,0.475113890502174,0.057742151026817
5.113,5.518,0.0908662394932387,0.151375045358805
5.143,5.596,0.151547052277094,0.164674152650308
5.119,5.662,0.0844821717484647,0.17760699221893
5.17,5.746,0.137519452609684,0.174750006152835
5.185,5.815,0.0917218090184786,0.167046153694685
5.176,6.277,0.123661717383141,0.247730644504066
5.14,5.968,0.0848302782395933,0.173455280112309
5.164,6.031,0.0855529202650018,0.167979846263643
5.149,6.109,0.0858670199159608,0.179905542792253
5.143,6.172,0.0880888612220705,0.22289159022526
5.143,6.244,0.0836696699871986,0.173618980352981
5.23,6.316,0.0910255793111565,0.176623921757834
5.185,6.778,0.102971460819226,0.175947928995885
5.194,6.838,0.103728677472112,0.166998568277154
5.2,6.904,0.089475888781597,0.153799058244732
5.179,6.619,0.0920299923709464,0.271404069448659
5.164,7.033,0.0864222424868464,0.156812248745437
5.182,7.111,0.0979047373666626,0.157009407121485
5.212,6.793,0.107740383054273,0.175190827109558
5.185,7.231,0.110741315167096,0.156197322695471
5.206,7.285,0.0879220699905083,0.163912120113885
5.173,7.348,0.0853760382262454,0.177281281293095
5.2,7.411,0.0966236983777105,0.143853079425448
5.194,7.117,0.0917416861451574,0.195478272942665
5.185,7.537,0.0885855015347765,0.180138564222465
5.194,7.591,0.105028863780439,0.154988176060649
5.191,7.663,0.10028280207918,0.148416841889311
5.185,7.711,0.0995566883153352,0.154117469731709
5.197,7.774,0.121127163003015,0.149235558553173
5.206,7.831,0.10354188280821,0.141695184286815
5.221,7.897,0.105566807052716,0.151644189974943
5.164,7.954,0.089025080475257,0.16056760863481
5.185,8.011,0.0879540456284538,0.15677201755916
5.221,8.068,0.103257808026831,0.152870441291208
5.188,8.125,0.0923626838829605,0.149577214597191
5.164,8.185,0.090838610618043,0.160922644471999
5.218,5.218,0.0895239503257015,0.0895239503257015
5.191,8.299,0.0938647326419266,0.154368130769544
5.209,8.353,0.0911052893031838,0.204523372615537
5.2,8.416,0.106045911469411,0.184256574815844
5.191,8.464,0.0953359520480133,0.162838610753139
5.212,8.527,0.102587116183104,0.185456105008477
5.239,8.581,0.100164182484208,0.17088660737685
5.224,8.626,0.105824729636977,0.176308330928144
5.197,8.692,0.0903664915853764,0.163428343225325
5.215,8.743,0.0915917262917434,0.183663645836976
5.221,8.8,0.0941162319234969,0.161790523596208
5.197,8.851,0.0939836930802516,0.185896833793031
5.164,8.899,0.10483756821136,0.184640927222313
5.191,8.956,0.085005192250855,0.174590043671815
5.209,9.007,0.102806663811259,0.172982153401898
5.188,9.064,0.0917539211360143,0.172719188019943
5.209,9.109,0.109182738615354,0.181455990554864
5.206,9.16,0.0898623921791319,0.176142903691852
5.218,9.214,0.100215658458338,0.1866023467828
5.179,9.265,0.0900348451065511,0.186018578154222
5.206,9.31,0.0943085954075649,0.16925730907006
5.194,9.361,0.0961691804653171,0.168786030399152
5.206,9.412,0.0958907638218829,0.182413129981276
5.143,9.466,0.0872249159379255,0.160646256089109
5.161,9.511,0.0883650360233101,0.168828832682639
